"""Brevia""","Brevia (Rome)",""
"""Dens sapiens""","Dens Sapiens",""
"""Il Bassini""","Bassini",""
"""Laboratorio;"" analisis clinicos, bacteriologia, inmunologia, parasitologia, hematologia, anatomia patologica, quimica clinica","Laboratorio",""
"'Adiyat Halab","Adiyat Halab",""
"'Iraq (1977)","Iraq",""
"1199 news. National Union of Hospital and Health Care Employees. District 1199","1199 News",""
"20 century British history","20 Century Br Hist",""
"21st century science & technology","21st Century Sci Technol",""
"2D Materials","2D Mater.",""
"3D Printing and Additive Manufacturing","3D Print. Addit. Manuf.",""
"<Le > Bulletin trimestriel du planning familial","Bull Trimest Plan Fam",""
"[Boei eisei] Japanese Defense Forces medical journal","Boei Eisei",""
"[Chapchi] Journal. Taehan Oekwa Hakhoe","Taehan Oekwa Hakhoe Chapchi",""
"[Chiryo] [Therapy]","Chiryo",""
"[Choson uihak] [Korean medicine]","Choson Uihak",""
"[Eisei dobutsu] Japanese journal of sanitary zoology","Eisei Dobutsu",""
"[Fukushima igaku zasshi] Fukushima medical journal","Fukushima Igaku Zasshi",""
"[Gencho Hiroshima igaku] The Hiroshima medical journal","Gencho Hiroshima Igaku",""
"[Hanguk uiyak] Korean journal of medicine","Hanguk Uiyak",""
"[Hifu] Skin research","Hifu",""
"[Hokenfu zasshi] The Japanese journal for public health nurse","Hokenfu Zasshi",""
"[Hokkaido igaku zasshi] The Hokkaido journal of medical science","Hokkaido Igaku Zasshi",""
"[Igakushi kenkyu] [Studies on history of medicine]","Igakushi Kenkyu",""
"[Kango gijutsu] : [Nursing technique]","Kango Gijutsu",""
"[Kango kyoiku] Japanese journal of nurses' education","Kango Kyoiku",""
"[Kango] Japanese journal of nursing","Kango",""
"[Kangogaku zasshi] The Japanese journal of nursing","Kangogaku Zasshi",""
"[Ke xue tong bao] [Science bulletin]","Ko Hsueh Tung Pao",""
"[Kokyuki shinryo] Clinics of respiratory organs","Kokyuki Shinryo",""
"[Minzoku eisei] Race hygiene","Minzoku Eisei",""
"[Nenpo] The Annual report of Takamine Laboratory. Takamine Kenkyusho","Takamine Kenkyusho Nenpo",""
"[Nippon iji shinpo] Japanese medical journal","Jpn Med J",""
"[Nippon koshu eisei zasshi] Japanese journal of public health","Nippon Koshu Eisei Zasshi",""
"[Nippon shika hyoron] The Nippon dental review","Nippon Shika Hyoron",""
"[Nisshin igaku] The Japanese journal of medical progress","Nisshin Igaku Jpn J Med Prog",""
"[Ochanomizu igaku zasshi] The Ochanomizu medical journal","Ochanomizu Igaku Zasshi",""
"[Onsen kagaku] Journal of the Balneological Society of Japan","Onsen Kagaku",""
"[Osaka Daigaku shigaku zasshi] The journal of Osaka University Dental Society","Osaka Daigaku Shigaku Zasshi",""
"[Preconference papers]. National Dental Health Conference","Preconf Papers Natl Dent Health Conf (U S)",""
"[Report no.] NAEC-ACEL-. United States. Aerospace Crew Equipment Laboratory, Philadelphia","Rep No NAEC ACEL United States Aerosp Crew Equip Lab Phila",""
"[Report no.] NAMC-ACEL-. United States. Air Crew Equipment Laboratory, Philadelphia","Rep No NAMC ACEL United States Air Crew Equip Lab Phila",""
"[Report]. Civil Aeromedical Research Institute (U.S.)","Rep Civ Aeromed Res Inst US",""
"[Research reports]. Naval Medical Field Research Laboratory (Camp Lejeune, N.C.)","Res Rep U S Nav Med Field Res Lab",""
"[Rinsho eiyo] [Clinical nutrition]","Rinsho Eiyo",""
"[Rinsho fujinka sanka] Clinical gynecology and obstetrics","Rinsho Fujinka Sanka",""
"[Rinsho ketsueki] The Japanese journal of clinical hematology","Rinsho Ketsueki",""
"[Rinsho shika] [Clinical dentistry]","Rinsho Shika",""
"[Rinsho shokakibyogaku] Clinical gastro-enterology","Rinsho Shokakibyogaku",""
"[Sanfujinka chiryo] Obstetrical and gynecological therapy","Sanfujinka Chiryo",""
"[Sanfujinka no shinpo] Advances in obstetrics and gynecology","Sanfujinka No Shinpo",""
"[Seitai no kagaku] [Science of the living body]","Seitai Kagaku",""
"[Sekai sanfujinka soran] [Survey of world obstetrics and gynecology]","Surv World Obstet Gynecol (Jpn)",""
"[Shandong yi kan] [Shantung medical publication]","Shandong Yi Kan",""
"[Shika igaku] [Dental medicine]","Shika Igaku",""
"[Shinryo] [Diagnosis and treatment]","Shinryo",""
"[Sogo rinsho] Clinic all-round","Sogo Rinsho",""
"[Technical report] SAM-TR. USAF School of Aerospace Medicine","Tech Rep SAM-TR",""
"[Tsa chih] [Journal of the] Alumni of the University of Takau. Gaoxiong yi xue yuan. Tong xue hui","Tsa Chih Gaoxiong Yi Xue Yuan Tong Xue Hui",""
"[Yakugaku kenkyu] Japanese journal of pharmacy and chemistry","Yakugaku Kenkyu",""
"[Yan jiu bao gao] Science reports of the National Taiwan University. Guo li Taiwan da xue. Xin li xue xi","Yan Jiu Bao Gao",""
"[Ying yang xue bao] Acta nutrimenta Sinica","Ying Yang Xue Bao",""
"[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai","Nippon Kyobu Geka Gakkai Zasshi",""
"[Zasshi] Journal. Kanazawa Daigaku. Igakubu. Juzen Igakkai","Zasshi Kanazawa Daigaku Igakubu Juzen Igakkai",""
"[Zasshi] Tokyo Jikeikai medical journal. Tokyo Jikeikai Ika Daigaku","Tokyo Jikeikai Ika Daigaku Zasshi",""
"[Zhonghua yan ke za zhi] Chinese journal of ophthalmology","Zhonghua Yan Ke Za Zhi",""
"A common place","Common Place",""
"A Crianca portuguesa","Crianca Port",""
"A Current bibliography on African affairs","Curr Bibliogr Afr Aff",""
"A Journal of Church and State","J Church State",""
